0	0	0	0	0	0
256	0	0	190	6	2
512	0	0	377	11	3
768	0	0	569	21	6
1024	0	0	758	31	8
1280	0	0	943	41	10
1536	0	0	1129	52	12
1792	0	0	1321	61	15
2048	0	0	1515	73	19
2303	0	0	1713	84	22
2559	0	0	1909	96	26
2815	0	0	2100	108	29
3071	0	0	2305	120	33
3327	0	0	2496	132	36
3583	0	0	2687	143	40
3839	0	0	2893	156	44
4095	0	0	3085	167	48
0	256	0	56	220	11
256	256	0	238	228	12
512	256	0	434	243	15
768	256	0	627	252	20
1024	256	0	818	260	22
1280	256	0	1003	271	25
1536	256	0	1194	284	29
1792	256	0	1388	293	32
2048	256	0	1577	305	35
2303	256	0	1780	318	39
2559	256	0	1974	330	43
2815	256	0	2170	341	46
3071	256	0	2375	352	50
3327	256	0	2563	364	54
3583	256	0	2758	376	57
3839	256	0	2960	389	62
4095	256	0	3153	399	65
0	512	0	107	435	22
256	512	0	291	447	27
512	512	0	488	461	30
768	512	0	682	471	33
1024	512	0	874	483	38
1280	512	0	1056	495	41
1536	512	0	1249	507	44
1792	512	0	1445	519	49
2048	512	0	1636	532	52
2303	512	0	1834	545	55
2559	512	0	2034	559	60
2815	512	0	2233	571	63
3071	512	0	2432	583	67
3327	512	0	2624	597	72
3583	512	0	2823	610	76
3839	512	0	3020	623	79
4095	512	0	3213	633	83
0	768	0	158	662	39
256	768	0	345	677	42
512	768	0	543	691	47
768	768	0	740	703	50
1024	768	0	927	714	53
1280	768	0	1113	725	58
1536	768	0	1305	738	63
1792	768	0	1500	749	66
2048	768	0	1691	760	70
2303	768	0	1887	772	73
2559	768	0	2085	785	77
2815	768	0	2294	800	81
3071	768	0	2492	813	86
3327	768	0	2686	825	89
3583	768	0	2881	836	93
3839	768	0	3081	848	97
4095	768	0	3276	859	100
0	1024	0	204	879	55
256	1024	0	400	895	59
512	1024	0	598	904	62
768	1024	0	792	915	67
1024	1024	0	985	932	71
1280	1024	0	1177	948	74
1536	1024	0	1367	959	80
1792	1024	0	1555	963	83
2048	1024	0	1745	974	87
2303	1024	0	1944	989	92
2559	1024	0	2146	1003	95
2815	1024	0	2352	1019	99
3071	1024	0	2551	1034	103
3327	1024	0	2744	1045	107
3583	1024	0	2940	1057	111
3839	1024	0	3143	1071	115
4095	1024	0	3338	1084	119
0	1280	0	254	1096	73
256	1280	0	454	1109	76
512	1280	0	654	1123	80
768	1280	0	847	1139	84
1024	1280	0	1039	1152	88
1280	1280	0	1234	1168	93
1536	1280	0	1417	1176	95
1792	1280	0	1613	1188	99
2048	1280	0	1806	1202	103
2303	1280	0	2005	1215	109
2559	1280	0	2206	1228	113
2815	1280	0	2408	1242	117
3071	1280	0	2607	1258	121
3327	1280	0	2801	1269	125
3583	1280	0	3003	1283	129
3839	1280	0	3201	1296	134
4095	1280	0	3394	1307	138
0	1536	0	308	1315	91
256	1536	0	510	1328	94
512	1536	0	711	1340	98
768	1536	0	903	1356	102
1024	1536	0	1099	1372	106
1280	1536	0	1291	1383	110
1536	1536	0	1474	1392	113
1792	1536	0	1670	1404	116
2048	1536	0	1866	1417	121
2303	1536	0	2062	1431	125
2559	1536	0	2264	1445	131
2815	1536	0	2461	1458	135
3071	1536	0	2656	1469	139
3327	1536	0	2860	1485	143
3583	1536	0	3064	1503	148
3839	1536	0	3260	1514	153
4095	1536	0	3451	1523	157
0	1792	0	364	1540	109
256	1792	0	565	1553	112
512	1792	0	770	1570	116
768	1792	0	957	1583	121
1024	1792	0	1155	1596	125
1280	1792	0	1345	1608	128
1536	1792	0	1535	1622	133
1792	1792	0	1731	1635	137
2048	1792	0	1929	1649	140
2303	1792	0	2128	1662	144
2559	1792	0	2334	1679	149
2815	1792	0	2523	1687	155
3071	1792	0	2720	1699	159
3327	1792	0	2919	1712	163
3583	1792	0	3122	1730	168
3839	1792	0	3319	1741	172
4095	1792	0	3513	1752	177
0	2048	0	419	1768	128
256	2048	0	625	1784	132
512	2048	0	827	1799	136
768	2048	0	1016	1812	139
1024	2048	0	1214	1827	144
1280	2048	0	1407	1841	148
1536	2048	0	1595	1854	152
1792	2048	0	1789	1867	156
2048	2048	0	1985	1877	159
2303	2048	0	2185	1890	164
2559	2048	0	2384	1904	169
2815	2048	0	2584	1920	173
3071	2048	0	2783	1932	179
3327	2048	0	2979	1943	183
3583	2048	0	3175	1956	188
3839	2048	0	3377	1974	192
4095	2048	0	3573	1982	197
0	2303	0	479	2002	146
256	2303	0	685	2016	151
512	2303	0	883	2031	155
768	2303	0	1077	2044	159
1024	2303	0	1272	2058	163
1280	2303	0	1465	2075	168
1536	2303	0	1655	2090	171
1792	2303	0	1851	2103	176
2048	2303	0	2050	2119	179
2303	2303	0	2249	2129	184
2559	2303	0	2453	2147	188
2815	2303	0	2657	2165	193
3071	2303	0	2850	2172	198
3327	2303	0	3046	2184	203
3583	2303	0	3238	2193	207
3839	2303	0	3432	2203	212
4095	2303	0	3632	2217	217
0	2559	0	538	2235	166
256	2559	0	743	2251	170
512	2559	0	940	2265	175
768	2559	0	1136	2278	179
1024	2559	0	1329	2291	183
1280	2559	0	1523	2305	188
1536	2559	0	1718	2329	192
1792	2559	0	1915	2341	196
2048	2559	0	2112	2351	201
2303	2559	0	2313	2363	204
2559	2559	0	2509	2375	209
2815	2559	0	2707	2386	215
3071	2559	0	2906	2396	218
3327	2559	0	3111	2415	222
3583	2559	0	3297	2422	227
3839	2559	0	3495	2437	232
4095	2559	0	3701	2453	237
0	2815	0	601	2480	187
256	2815	0	803	2496	192
512	2815	0	1001	2503	196
768	2815	0	1201	2522	200
1024	2815	0	1389	2530	203
1280	2815	0	1581	2542	207
1536	2815	0	1773	2559	213
1792	2815	0	1972	2574	217
2048	2815	0	2174	2590	222
2303	2815	0	2375	2605	224
2559	2815	0	2569	2618	229
2815	2815	0	2776	2634	234
3071	2815	0	2974	2645	238
3327	2815	0	3169	2654	243
3583	2815	0	3359	2663	248
3839	2815	0	3560	2679	253
4095	2815	0	3767	2691	257
0	3071	0	661	2716	208
256	3071	0	859	2731	212
512	3071	0	1063	2744	216
768	3071	0	1260	2757	221
1024	3071	0	1450	2768	224
1280	3071	0	1642	2783	227
1536	3071	0	1836	2800	232
1792	3071	0	2036	2818	237
2048	3071	0	2238	2833	242
2303	3071	0	2438	2851	246
2559	3071	0	2635	2866	250
2815	3071	0	2832	2868	255
3071	3071	0	3030	2878	260
3327	3071	0	3217	2881	262
3583	3071	0	3411	2894	269
3839	3071	0	3626	2921	272
4095	3071	0	3822	2919	276
0	3327	0	715	2936	227
256	3327	0	918	2962	232
512	3327	0	1119	2966	237
768	3327	0	1317	2980	241
1024	3327	0	1512	3002	243
1280	3327	0	1702	3012	248
1536	3327	0	1892	3023	253
1792	3327	0	2092	3036	258
2048	3327	0	2293	3050	263
2303	3327	0	2488	3065	265
2559	3327	0	2688	3079	270
2815	3327	0	2889	3090	273
3071	3327	0	3086	3095	278
3327	3327	0	3283	3113	282
3583	3327	0	3471	3117	285
3839	3327	0	3669	3123	291
4095	3327	0	3879	3137	298
0	3583	0	771	3162	247
256	3583	0	970	3179	250
512	3583	0	1172	3182	255
768	3583	0	1375	3210	260
1024	3583	0	1569	3228	264
1280	3583	0	1753	3229	268
1536	3583	0	1951	3252	273
1792	3583	0	2151	3267	277
2048	3583	0	2348	3278	281
2303	3583	0	2543	3291	285
2559	3583	0	2740	3305	289
2815	3583	0	2941	3312	294
3071	3583	0	3140	3323	298
3327	3583	0	3346	3348	304
3583	3583	0	3522	3338	306
3839	3583	0	3737	3359	312
4095	3583	0	3940	3370	315
0	3839	0	829	3405	266
256	3839	0	1029	3421	271
512	3839	0	1235	3435	277
768	3839	0	1436	3464	281
1024	3839	0	1626	3471	285
1280	3839	0	1815	3479	288
1536	3839	0	2007	3493	294
1792	3839	0	2210	3513	297
2048	3839	0	2406	3525	303
2303	3839	0	2600	3533	306
2559	3839	0	2791	3536	309
2815	3839	0	2996	3545	312
3071	3839	0	3196	3560	317
3327	3839	0	3393	3576	321
3583	3839	0	3585	3580	326
3839	3839	0	3793	3586	328
4095	3839	0	3989	3594	331
0	4095	0	891	3663	288
256	4095	0	1095	3677	292
512	4095	0	1297	3691	297
768	4095	0	1493	3703	303
1024	4095	0	1690	3724	308
1280	4095	0	1877	3728	311
1536	4095	0	2066	3732	314
1792	4095	0	2265	3737	316
2048	4095	0	2455	3746	320
2303	4095	0	2651	3757	325
2559	4095	0	2851	3769	328
2815	4095	0	3054	3777	331
3071	4095	0	3249	3781	335
3327	4095	0	3446	3794	339
3583	4095	0	3646	3804	344
3839	4095	0	3850	3806	348
4095	4095	0	4042	3801	351
0	0	256	7	4	195
256	0	256	200	9	196
512	0	256	387	14	200
768	0	256	580	24	202
1024	0	256	770	33	205
1280	0	256	955	44	209
1536	0	256	1143	54	213
1792	0	256	1341	66	216
2048	0	256	1531	77	219
2303	0	256	1727	90	222
2559	0	256	1924	101	226
2815	0	256	2123	113	231
3071	0	256	2326	126	235
3327	0	256	2517	137	239
3583	0	256	2711	149	243
3839	0	256	2919	161	247
4095	0	256	3109	174	252
0	256	256	63	229	207
256	256	256	245	236	208
512	256	256	443	250	216
768	256	256	639	263	219
1024	256	256	830	271	223
1280	256	256	1016	281	228
1536	256	256	1207	293	231
1792	256	256	1408	305	238
2048	256	256	1599	316	243
2303	256	256	1798	328	246
2559	256	256	1992	340	248
2815	256	256	2188	350	252
3071	256	256	2395	364	257
3327	256	256	2582	375	261
3583	256	256	2783	389	264
3839	256	256	2986	402	267
4095	256	256	3178	412	274
0	512	256	115	450	224
256	512	256	302	462	228
512	512	256	500	476	232
768	512	256	693	485	238
1024	512	256	885	496	243
1280	512	256	1067	508	247
1536	512	256	1263	521	250
1792	512	256	1462	535	254
2048	512	256	1655	548	259
2303	512	256	1849	560	262
2559	512	256	2046	573	266
2815	512	256	2245	584	270
3071	512	256	2447	598	277
3327	512	256	2643	613	282
3583	512	256	2848	628	285
3839	512	256	3044	640	289
4095	512	256	3237	650	292
0	768	256	166	684	243
256	768	256	358	700	248
512	768	256	557	713	254
768	768	256	749	721	257
1024	768	256	941	735	258
1280	768	256	1129	749	266
1536	768	256	1322	758	269
1792	768	256	1519	771	276
2048	768	256	1710	781	279
2303	768	256	1905	792	284
2559	768	256	2106	806	287
2815	768	256	2307	816	290
3071	768	256	2507	830	295
3327	768	256	2704	842	299
3583	768	256	2901	855	303
3839	768	256	3099	866	306
4095	768	256	3292	876	310
0	1024	256	213	903	261
256	1024	256	411	917	265
512	1024	256	609	928	270
768	1024	256	804	939	274
1024	1024	256	999	956	280
1280	1024	256	1191	968	285
1536	1024	256	1381	981	289
1792	1024	256	1575	988	292
2048	1024	256	1765	999	297
2303	1024	256	1966	1015	302
2559	1024	256	2169	1029	305
2815	1024	256	2369	1041	309
3071	1024	256	2569	1055	314
3327	1024	256	2761	1065	317
3583	1024	256	2957	1077	322
3839	1024	256	3164	1093	327
4095	1024	256	3355	1103	330
0	1280	256	264	1125	281
256	1280	256	466	1138	287
512	1280	256	668	1152	290
768	1280	256	861	1166	293
1024	1280	256	1053	1178	297
1280	1280	256	1247	1193	302
1536	1280	256	1434	1203	306
1792	1280	256	1628	1212	308
2048	1280	256	1824	1225	314
2303	1280	256	2022	1239	319
2559	1280	256	2225	1254	323
2815	1280	256	2424	1266	327
3071	1280	256	2621	1278	331
3327	1280	256	2818	1290	336
3583	1280	256	3019	1304	340
3839	1280	256	3219	1318	345
4095	1280	256	3415	1330	348
0	1536	256	318	1343	301
256	1536	256	522	1358	305
512	1536	256	725	1371	307
768	1536	256	918	1389	313
1024	1536	256	1110	1399	316
1280	1536	256	1300	1404	320
1536	1536	256	1488	1416	323
1792	1536	256	1683	1428	327
2048	1536	256	1881	1442	331
2303	1536	256	2079	1456	336
2559	1536	256	2280	1467	343
2815	1536	256	2478	1482	347
3071	1536	256	2676	1495	350
3327	1536	256	2880	1509	354
3583	1536	256	3079	1524	359
3839	1536	256	3277	1537	363
4095	1536	256	3469	1546	366
0	1792	256	373	1568	318
256	1792	256	580	1582	324
512	1792	256	782	1598	327
768	1792	256	975	1615	331
1024	1792	256	1170	1627	336
1280	1792	256	1359	1636	339
1536	1792	256	1551	1649	343
1792	1792	256	1745	1661	346
2048	1792	256	1942	1674	350
2303	1792	256	2142	1687	355
2559	1792	256	2351	1704	360
2815	1792	256	2540	1712	366
3071	1792	256	2739	1725	369
3327	1792	256	2941	1740	374
3583	1792	256	3142	1756	378
